中間テスト得点,期末テスト得点,小テスト得点,模擬試験1の得点,模擬試験2の得点,模擬試験3の得点
68,32,39,47,22,37
50,18,28,27,17,32
55,32,39,40,50,42
86,73,94,87,100,89
95,95,100,87,100,84
59,36,67,27,50,16
91,91,100,100,100,95
45,36,39,40,33,32
59,27,17,27,17,26
59,32,67,47,50,47
64,45,61,13,33,37
77,55,67,47,44,37
59,45,67,33,39,42
59,45,61,40,39,16
55,50,67,27,28,37
73,50,44,53,44,32
59,45,44,33,33,37
55,36,61,40,28,26
64,45,39,40,33,37
50,50,67,60,56,63
41,36,39,53,33,26
59,23,72,47,44,26
59,32,61,27,39,37
64,36,72,53,44,42
64,23,33,33,22,47
73,32,39,47,44,47
68,55,67,40,44,42
45,36,61,47,22,32
64,41,94,67,44,58
59,41,50,27,39,47
36,23,39,27,28,16
73,27,67,27,56,16
64,41,50,13,56,26
50,55,22,40,28,42
68,59,61,47,33,47
59,45,72,33,33,42
59,41,50,47,33,26
55,41,33,20,44,37
41,45,67,20,56,47
41,36,61,27,61,32
50,45,67,53,61,42
59,41,50,73,61,32
73,32,61,53,39,26
36,55,61,53,50,32
50,41,78,60,39,47
64,50,67,53,56,37
73,59,78,67,67,58
77,82,83,87,89,79
36,36,33,60,44,37
45,18,39,33,11,21
64,27,44,33,39,26
91,91,100,100,89,89
64,41,72,40,56,68
59,27,67,27,28,21
68,36,56,20,11,16
55,23,67,33,61,11
68,23,61,40,61,32
68,45,72,60,61,58
50,32,61,27,33,32
59,36,50,40,50,32
73,64,78,80,78,68
91,64,83,93,78,47
55,32,56,40,33,11
64,55,61,40,28,47
68,64,78,67,72,63
91,86,100,93,100,100
55,50,72,67,44,42
68,41,44,53,50,42
64,41,56,40,39,21
86,55,89,53,50,42
64,55,61,47,50,26
64,55,72,40,22,32
64,64,72,27,44,53
59,50,56,40,28,26
59,32,33,33,22,5
64,50,50,47,44,32
82,68,89,73,89,58
77,73,72,60,83,63
73,41,44,27,44,42
68,50,67,47,33,21
68,45,67,60,50,37
41,41,44,40,50,37
73,73,72,60,61,21
73,45,44,40,50,42
59,50,83,53,61,74
55,45,44,47,22,37
64,41,44,40,28,32
77,59,67,87,67,58
68,23,56,53,44,26
59,45,39,27,33,16
86,55,83,53,89,37
55,41,33,20,11,5
64,32,56,53,56,37
73,41,72,33,61,47
73,59,39,47,56,42
59,41,72,20,44,32
45,23,50,27,28,37
